,Item Number,Monetary,Frequency,Recent_Date
0,81206,1436789.41,30256,2020-09-30
1,22121,589275.9,7613,2020-09-30
2,57051,267184.04,2214,2020-09-29
3,4032,4567.5,63,2015-12-16
4,33783,22316.83,329,2014-10-01
5,89274,254006.31,3643,2020-09-30
6,73596,92748.4,2246,2018-08-06
7,58819,44372.4,645,2015-09-17
8,14204,8036.85,86,2015-12-30
9,64985,23238.9,560,2018-02-08
10,42686,22252.58,218,2015-08-11
11,42370,171614.77,2191,2020-09-30
12,73463,3654.24,61,2014-07-21
13,903760,32898.32,973,2020-03-19
14,966059,269.88,1,2013-04-25
15,904973,4825.44,8,2016-05-16
16,900316,406.86,2,2014-02-27
17,905052,297.54,2,2012-11-15
18,5325,69552.0,1030,2020-09-29
19,989451,445.92,1,2014-07-30
20,903147,608.4,5,2016-04-28
21,39917,166362.0,2895,2020-09-30
22,12888,1368795.4,13335,2020-09-30
23,44603,165371.26,2708,2020-09-28
24,77786,392311.92,5059,2020-09-30
25,44350,446714.8,5991,2020-09-29
26,42507,104675.19,1428,2020-02-20
27,27753,1009.34,52,2015-03-30
28,82604,94923.14,5274,2019-08-01
29,84399,22774.79,446,2015-02-02
30,982757,3546.96,22,2015-04-13
31,27081,15996.92,197,2013-02-27
32,77872,2616.9,122,2014-12-30
33,2393,46152.22,336,2019-12-16
34,5067,44667.31,153,2020-09-29
35,27339,7040.43,46,2016-06-14
36,27125,1295062.85,6216,2020-09-30
37,935543,6696.0,14,2019-10-14
38,903363,2352.48,25,2014-07-10
39,900256,1315.68,12,2017-12-13
40,905307,2439.12,19,2017-11-08
41,27890,33478.2,253,2020-01-03
42,905778,574.08,12,2017-12-13
43,57180,5316.75,79,2017-04-20
44,904576,450.72,2,2013-11-04
45,987645,623.76,2,2015-06-23
46,20256,339.84,3,2013-02-13
47,37347,5932911.98,22483,2020-09-30
48,4127,166940.21,182,2014-11-19
49,34155,1019204.02,7342,2020-09-30
